Name,Twitter,Discord,Website,Description
Era Spheres,https://twitter.com/eraspheres,https://discord.com/REPrVxA2gN,https://eraspheres.com/,"Era Spheres is a hardcore 2D MMORPG game on Solana, owned by players. Users will be able to collaborate with other players, combine Sphere Magic, and fight for the very survival of humanity.

The world of Era Spheres has amazing hand-crafted, pixelated landscapes where users can play as a Warden, Spellcaster or Prodigy. The whole map of Era Spheres will be divided into sections and owned by players as NFT-based pieces of land to get in-game bonuses and other perks."
EscAPEX,https://twitter.com/apeXit_finance,https://discord.gg/bG3MhjuQ,https://www.escapex.games/,"An oddisey to liberate Apegeles, is a rogue like game were you can bring your own EitBitApes NFTs to live to serve on a mission: Free Apegeles from the dystopic decadence that's taken over the planet."
Fable Kingdoms,https://twitter.com/fable_kingdoms,https://discord.gg/Vk2C9Scx,https://fablekingdoms.com/,Fable Kingdoms is a massive multiplayer online strategy game
Flappyz,https://www.twitter.com/FlappyzApp,https://discord.gg/flappyz,https://flappyz.io,"Flappyz is the worlds first mobile NFT game. Download the app and bring your jpeg to life! What are you waiting for, anon?"
Fractals,https://twitter.com/fractalwagmi,https://discord.gg/fractalwagmi,https://nft.fractal.is,100k unique snowflakes floating around the metaverse.
Galactic Fight League,https://twitter.com/GalacticFL,http://discord.gg/8wHyauPktU,https://galacticfightleague.com/,"It's fight time. Welcome to the Galactic Fight League, a P2E game where the world of fighting meets the metaverse to create an immersive experience featuring some of the biggest fighters and brands in the world of MMA."
Galactic Goons,https://twitter.com/galacticgoonsio?lang=en,https://discord.com/invite/vW3q4NHsXr,https://www.galacticgoons.io/,"The Goon Life is about wreaking havoc in the metaverse with a chaotic twist on social hubs, and development of a PVP-to-Earn gaming franchise."
Gamerplex,https://twitter.com/gamerplex_com,http://discord.gg/gamerplex,https://gamerplex.com/,"Gamerplex is building for the future of the Metaverse! By creating 3D Assets that work across all Exaverse games we are developing NFT standards, open sourcing 3D assets and working with other Indie Game Developers to bring support to their games!"
Gator Squad,https://twitter.com/gatorsquadnft,https://discord.com/invite/Yjm4RZ9v4b,https://gatorsquadnft.com,Play Games. Earn $TICKETS. Win Prizes.
Glizzy Royale,https://twitter.com/glizzyroyale,https://t.co/UDh9gBA9qF,https://gloriousglizzys.io/,Glizzy Royale is a pay-and-earn battle royale game coming to the Solana blockchain.
Glyph-Bound,https://twitter.com/GlyphBound,http://discord.gg/kayac,https://www.glyph-bound.com/,"An MMORPG inspired by Pokemon, Final Fantasy Tactics, and Old School Runescape!"
Guild Saga,https://twitter.com/GuildSaga,https://discord.gg/guildsaga,https://www.guildsaga.com/,"Guild Saga is a play-to-earn, pixel art, isometric, NFT-based fantasy RPG built on the Solana blockchain. The game features strategic, turn-based, tactics-style combat."
Heaven Land,https://twitter.com/heavenland_io,https://discord.gg/heavenland,https://heavenland.io/,"Heaven Land builds a virtual reality platform where users can experience, improve and monetize their assets."
Honeyland,https://twitter.com/HoneylandGameFi,https://discord.com/invite/honeyland,https://honey.land/,Honeyland is a mobile-first blockchain strategy game where players assume the role of a Beekeeper to manage their colony of Bees and Lands. 
House of Sparta,"https://twitter.com/Houseofsparta_	","https://discord.com/invite/houseofsparta	","https://houseofsparta.art	","House of Sparta is a Solana engineered real-time strategy game, where players will utilize battlefield tactics to wage war against opponents in order to achieve prosperity for their Kingdoms"
Infungibles,https://twitter.com/theinfungibles,https://discord.gg/KpsnFgzV,https://infungibles.io,The Infungibles are Metaverse Mechas that can by piloted by any Solana NFT. Fight in our arena and climb our leaderboards to win SOL.
Invokers,https://twitter.com/invokersnft,https://discord.gg/invokers,https://www.invokersnft.com,"All NFTs play a crucial part in the upcoming Invokers MMO, which is a Quest based, Open World MMORPG built on Unreal Engine 5.0."
Kaiju Cards,https://twitter.com/kaijucards,https://discord.com/invite/CUJfDarkEh,https://kaijucards.io/,Kaiju Cards is a deckbuilding RPG card-game where players can collect character NFTs to form a party
Kaizen Corps,"https://twitter.com/KaizenCorpsNFT	","https://discord.com/invite/kaizencorps	","https://kaizencorps.com/	",We’re building the world's first MOCSE: Massive Online Collaborative Strategy Experience
Kam1,https://twitter.com/KAM1NFT,https://discord.com/invite/kam1,https://www.kam1.com/,"The mythical world of Izuno knew no strife, felt no hunger, and knew only bliss for centuries. "
KnifeForkSpoon,https://twitter.com/KFSnft,https://discord.gg/KFS,https://kfsnft.com,Play to Earn mini-games that are playable by any NFT community that is onboarded onto the SpoonVerse.
Kyoudai Spirits,https://twitter.com/KyoudaiLabs,https://discord.com/invite/Kyoudai,https://www.kyoud.ai/,"Kyoudai was a utopia until an elder Guardian, Haddamøn, broke his vows of protection and performed the forbidden Nergal incantation."
LUX Metaverse,https://twitter.com/weareLUX_space,https://discord.com/invite/luxmetaverse,https://wearelux.space/,"UX is a Real Estate VR/PC/AR-based metaverse on Solana. We combine an immersive residential experience with elements of gaming, Play to Earn, Stay to Earn, social media, and digital events, all built on Virtual Reality and with Mobile and Desktop users in mind."
LadderCaster,https://twitter.com/LadderCaster,https://discord.com/invite/ZXNeT64NcX,https://laddercaster.com/,"Laddercaster is a realtime mobile strategy and NFT market economy game, built on Solana."
Legends of Aria,https://twitter.com/LegendsOfAria,http://discord.gg/legendsofaria,https://legendsofaria.io,A full-loot play-and-earn sandbox MMORPG.
MadTrooper,"https://twitter.com/TheMadTrooper	","https://discord.com/invite/N7tWFsdPUJ	","https://madtrooper.com/	","Embark on this wild intergalactic journey by minting your own MadTrooper NFT on the Solana blockchain, and joining the grand battle that will decide the very fate of the world."
Magic Connect!,https://twitter.com/MagiConGame/,https://discord.com/invite/magicconnect,magic-connect.com,"The once-calm Kingdom of Sutheria finds itself being
overrun by creatures only known as ""the corruption""."
Meta Rail,https://twitter.com/MetaRailSOL,https://discord.com/invite/wtzFHzZ5gH,https://metaraildao.com,Meta Rail is an underground game where you can use trains to drop any goods.
MetaOps,https://twitter.com/metaopsgaming,https://discord.gg/metaops,https://metaopsgaming.com,An NFT-based first-person shooter built on the SOLANA Blockchain.
Metagates,https://twitter.com/MetagatesOnline,http://discord.gg/metagates,https://metagates.io/,"Metagates is an immersive open world game where players can battle each other, claim their own land, and so much more. A portal has been opened connecting the metaverse to the real world - what is next to come?"
Metaversol,https://twitter.com/MxMetaversol,https://discord.gg/metaversol,https://metaversol.com/,"Metaverse-as-a-Service platform started on Solana. A place to play games, explore, use NFTs, build communities, businesses & more!"
Metawana,https://twitter.com/Metawana,https://discord.com/invite/metawana,https://metawana.io/,"Metawana is a fun play-and-earn game where players can cultivate rare and exotic NUGS, evolve them into powerful Battle Buds that compete in PvP contests, and receive in-game rewards every step of the way. Each NUG / Battle Bud are NFTs created with a unique traits and paired with dynamic in-game abilities and rarities."
Mighty Minions,https://twitter.com/MightyMinions,https://discord.com/invite/mightyminions,https://www.mightyminions.io/,"Cute, rare, & high-utility NFTs: The first NFT Wagering Game Where Your NFTs Determine the Odds!
"
Million on Mars,https://twitter.com/MilliononMars,https://milliononmars.com/discord,https://milliononmars.com,"Build rovers, construct buildings, and scavenge the planet as you strategize and craft your way to an NFT Empire, in the best land-based MMO on the blockchain."
Mini Royale,https://twitter.com/mininations,https://discord.com/invite/miniroyale,https://miniroyale.io/,"Hone your shooting skills, compete in tournaments, and complete missions with your Clan to earn tokens and coveted rewards."
Minionverse,https://twitter.com/minionversegame,https://discord.gg/minionverse,https://minionverse.io/,"Minionverse $MIVRS is a mashup between Tower Defense and Trading Card Game with PvE and PvP (asynchronous) modes! Launching on Binance Smart Chain, the game will be available in desktop, web, Android and iOS!"
Mirror World,https://twitter.com/joinmirrorworld,https://discord.gg/mirrorworld ,https://mirrorworld.fun,"Mirror World consists of a series of AI NFT powered game
experiences within the Mirror World ecosystem, where the
NFTs will act as a one pass into each one of the blockchain based games."
MonkeyBall,https://twitter.com/monkeyballgame,https://discord.com/invite/monkeyball,https://www.monkeyball.com,"MonkeyBall is a quick, turn-based, Play-to-Earn, arcade, soccer game offering a high-production-value gaming experience."
Monkish,https://twitter.com/MonkishRebel,https://discord.gg/monkish,https://monkishrebel.com/,Monkish Rebels will put their lives on the line to regain their homeland and defend the honor of degens everywhere!
Moonland Metaverse,https://twitter.com/moonlandverse,https://discord.com/invite/moonland,https://www.moonland.world,"Mint a key, gain access to different rooms, connect your wallet, play with friends!"
Nekoverse,https://twitter.com/Nekoverse_NFT,https://discord.gg/nekoverse,https://nekoverse.net/,"Nekoverse is also the name of the metaverse (in-game world) in which players can choose their own paths in discovering, interacting with other players, battle PvE and PvP, or just leisurely explore the world, farming resources and crafting items. "
Neoland,https://twitter.com/neolandgame,https://discord.com/invite/neoland,https://www.neoland.io/,Neopolis is a MMO location-based game where players trade real-world buildings.
Neopets Metaverse,https://twitter.com/NeopetsMeta,https://discord.com/invite/neopets-metaverse,https://www.neopetsmeta.io/,"Welcome to the Neopets Metaverse, a free-to-play, play-and-earn, community-driven game based on the original Neopets classic."
Nyan Heroes,"https://twitter.com/nyanheroes	","http://discord.gg/nyanheroes	","http://nyanheroes.medium.com	","Nyan Heroes is an NFT game built on the Solana blockchain that is part of the ‘play to earn’ metaverse, saving real kitties one Nyan at a time!"
Oni Gang,https://twitter.com/OniGangNFT,https://t.co/MOd947X1y9,https://www.onigangnft.com/,"1,111 ONI fighting in the middle of the Solana galaxy. Stake your ONI to earn $SOL. Alpha calls, poker tournaments, whitelist giveaways for all ONI DAO members. Play ONI Game and reach the leaderboard to win more $SOL."
Panzerdogs,https://twitter.com/panzerdogs,https://discord.gg/panzerdogs,https://home.panzerdogs.io,A PVP tank brawler on Solana starting with the release of 5555 unique dog avatars.
Photo Finish,https://twitter.com/photofinishgame,http://discord.gg/AsEMTAnJaS,https://photofinish.live/,Own your own virtual horses to run realistic races against real players for real money!
Pixel Racers,https://twitter.com/pixelracersnft,https://discord.com/invite/sJyp4gMGJD,https://pixelracers.io/,"Pixel Racers is an NFT collection and
gaming ecosystem on the Solana blockchain."
Pocket Godz,https://twitter.com/PocketGodz,https://discord.com/invite/bN2KzaTNeS,https://www.pocketgodz.xyz/,The PGz have decided to use their collective power to enter the Solana Metaverse due to the incredible art and community on this chain.
Portals,https://twitter.com/_portals_,https://discord.gg/9uMBaCPW3f,https://theportal.to/,"Portals is a web-based metaverse platform. Explore downtown, invite friends, chat, build, show off your NFTs — right in the browser."
Project Eluune,https://twitter.com/ProjectEluune,https://discord.com/invite/eluune,https://www.arrivant.com,"On your quest to repair a shattered world and uncover its secrets, you will build creature armies to outsmart and counter ever more powerful enemy forces. "
Project Hive,https://twitter.com/project_hive_io,https://discord.com/invite/project-hive,https://project-hive.io/,Play-and-Earn in Cyberpunk universe. UE5 quality and Blockchain efficiency.
Psyker,https://twitter.com/psykergame,https://discord.gg/psykergame,https://psyker.game/,"Psyker is an innovative and action-packed fighting game with multi-layered combat mechanics with power-ups, item attributes, and Psyker Mode. Step into an ever-evolving game universe called the Psykerverse."
Reign of Terror,https://twitter.com/RoTTheGame,http://discord.gg/reignofterror,https://reignofterror.io,Reign of Terror is a unique cyberpunk P2E blockchain game on Solana developed by Red Door Digital
Rogue Star,https://twitter.com/FindRogueStar,https://discord.gg/roguestar,https://www.roguestar.net/,Rogue Star is an action-packed Sci-Fi MMORPG with roots from classic games like Wing Commander and X-Wing vs Tie Fighter coupled with social and PvE aspects of games like WoW. O
Rooniverse,"https://twitter.com/JamboMamboLand	","https://discord.com/invite/vTNX7pWyVq	","https://www.jambomambo.io/	",Pocket Multiplayer Online Battle Grounds. Collect. Battle. Progress. Create.
Sea Rovers,https://twitter.com/SeaRoversNFT,https://discord.gg/searovers,https://searoversnft.com/,"Sea Rovers are a deflationary collection of unique pirate ship NFTs on the Solana Blockchain. Owners gain access to the live MetaPlunder play-to-earn game, DAO membership, and staking to earn the utility Rum Token ($RUMT)."
Seoul Stars,https://twitter.com/SeoulStarsNFT,https://t.co/EHINCnMmQt,https://t.co/EPZ9hGFD5Y,K-Pop Virtual Idol and Play-To-Earn Rhythm and Karaoke Game on Solana
SkateX,https://twitter.com/PlaySkateX,https://discord.gg/skatex,https://www.skatex.io/,"SkateX is a 3D skate MMO game, where players skate, grind,
and jump their way through an open world. Players can
complete quests and challenges, collect boards, customize their
presence and compete with other players in a NextGen skate
MMO, powered by Solana."
SolBees,"https://twitter.com/beemarkets	","https://discord.gg/4U8raeMs4W	",https://bee.markets/,"SolBee Avatars, 3D mixed profile NFT characters in the Gamers Metaverse!"
SolCraft,https://twitter.com/solcraftgame,https://discord.gg/solcraft,https://solcraft.online/,SolCraft is a P2E Action-RTS game. Play as one of several different races with multi-utility including but not limited to direct earning through playing game or passively via staking or breeding.
SolFennex,https://twitter.com/SolFennex,https://discord.gg/solfennex,https://solfennex.io/,"P2E game and the Solivia Metaverse where you can play, explore, earn, trade and interact with other Fennex"
Solantasy,https://twitter.com/solantasy,https://discord.com/invite/2uRksgm69u,https://solantasy.com,"Fight your way through dungeons to the Shadowlands as a SolWarrior, SolWizard, or as a SolArcher."
Solchicks,https://twitter.com/SolChicksNFT,http://discord.gg/solchicks,https://www.solchicks.io,"SolChicks is the leading NFT-powered fantasy playing game built on the Solana blockchain, where players use their SolChicks as their characters in a unique gaming metaverse."
Solderland Bunnies,https://twitter.com/Solderland,https://discord.gg/solderland,https://www.solderland.com,Solderland is the first gamified staking project built on the Solana network.
Soulofox,https://twitter.com/soulofoxNFT,https://discord.gg/soulofox,https://soulofox.com/,"2,222 unique and programmatically generated from over 180 different attributes. Attributes are carefully designed following the lore. Gen 0 Soulofox NFT will have utilities including token airdrop, land ownership, and gamefi features."
Sovana,"https://twitter.com/sovanadao	","https://discord.com/invite/sovana	","https://www.sovana.world/	",Sovana is an interoperable metaverse where we bring utility to NFTs. Our vision is to integrate and drive value to existing NFTs and communities.
Starbots,https://twitter.com/Starbots_game,https://discord.gg/arCt64m2ms,https://starbots.net,"Starbots is a BattleBots-inspired universe and the first-ever robot battle NFT game where players create fantasy robots to fight against other competitors, then collect NFT items and GEAR tokens."
Sugar Realm,https://twitter.com/SugarRealmNFT,https://discord.com/invite/sugarrealm,https://sugarrealm.io/,"Sugar Realm is an RNG based Hack 'n' Slash P2E multiplayer PVE/PVP game. Hero of the game is a Sugar Glider fighting against the oppression of evil cats that are in possession of everything, sharing nothing."
Swords of Blood,https://twitter.com/SwordsofBlood_,https://discord.gg/swordsofblood,https://swordsofblood.com/,"Become a brave dungeon hunter, bounty hunting witcher, or be a grinder always looking for a greater loot. No matter which of the endless paths you choose, there is a great adventure awaiting you."
Synergy Land,https://twitter.com/SynergyLandGame,https://discord.com/invite/synergyland,https://www.synergyland.live/home,"Synergy Land is a blockchain multiplayer ARPG game currently in development by
Synergy Games, set in a fantasy world divided into four ecosystems, each based on
the following elements: earth, water, fire and ice."
Tech Folk,https://twitter.com/techfolk_nft,https://discord.com/invite/Ut72g67DNS,https://techfolk.io,Web3 startup simulation game using NFTs
The Harvest,https://twitter.com/theharvestgame/,https://discord.com/invite/theharvest,https://theharvestgame.com/,The Harvest is a fresh new take on Class-Based Hero-Shooters. Fight along with your teammates from different civilizations against other players to take control of the universe's essence.
The Orcs,https://twitter.com/TheOrcsNFT,https://discord.gg/theorcs,https://theorcs.io,The Orcs is a Play-To-Earn trading card game where players compete in epic battles using constructed decks with a selected faction hero which has a unique ultimate ability.
The Remnants,https://twitter.com/RemnantsNFT,https://discord.com/invite/remnantsnft,https://theremnants.app/,Explore and loot the many points of interest that Longwood Valley has to offer. Just be careful venturing out at night.
Tiny Colony,"https://twitter.com/TinyColonyGame	","https://discord.io/TinyColony	","https://tinycolony.io	","The first-ever Construction & Management Blockchain Game, built on Solana. "
VBA Game,https://twitter.com/vbagame,https://discord.gg/vbagame,https://www.vbagame.com/,"The Virtual Basketball Association (VBA) is the Basketball League of the Metaverse and a community of hoops degens. As a GM, your goal is to build the best team of players that compete in contests for rewards.

"
Vishv,https://twitter.com/vishv_space,https://discord.gg/zspFpC9dAw,https://play.vishv.space/,"Explore new galaxies, stars, and planets in this vast play-to-earn open Metaverse."
Voyagers by Nest Arcade,https://twitter.com/TheNestArcade,https://discord.com/invite/nestarcade,https://nestarcade.io/,"4,444 Voyagers venturing into the Nest Arcade mini-verse to discover $NEST rich quests. Stake Voyager NFTS and earn $NESTA to play in Nest Arcade games."
YAKU,https://twitter.com/YakuCorp,https://discord.gg/yakucorp,https://www.yakushima.io/,A Web3 ecosystem where all Solana projects can join in.
Zoolana,https://twitter.com/Zoolana_,https://discord.gg/zoolana,https://zoolana.io/,"It’s the year 2300. Extreme wealth disparity has
divided the world into two zones. While the poor
live in squalor, living and dying in failing cities, the
ultra-wealthy build a paradise just for themselves:
Zoolana. For 50 years the tribes have had their own respective
territories and lived separate lives within their
regions.
That is, until now. In recent years, it’s become
apparent that the land in the Zoolana valley has
limited resources...and it’s every tribe, and even
Zani, for themself."
ev.io,https://twitter.com/play_evio,https://discord.gg/NFvd4pWemv,https://ev.io,"Experience the Halo of Web3: PvP, PvE, 10+ maps, private parties and a custom Fractal Map to battle and earn WL tokens. All in your browser."
